player_id,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
18644,2687,1985-08-20,Attack,1200000.0,27000000.0,2023-06-30,2022,1985,37,9,59,25,0,14093,30,7,3,0,2065,4,17,7,0,4280,7,73,447.66301369863015,10,4,0,2215,3,40,234.5875,1,906.1306691965939,24.9505088253034
70114,2410,1991-06-13,Attack,1200000.0,2500000.0,2024-06-30,2022,1991,31,6,30,21,0,9255,20,0,1,0,916,2,12,7,0,3224,6,54,338.52037037037036,12,6,0,2308,4,29,245.9586206896552,1,753.77788592263,20.755441168000825
68718,1147,1986-11-28,Attack,500000.0,1750000.0,2024-06-30,2022,1986,36,5,12,1,0,3726,1,0,0,0,320,0,4,0,0,1779,0,35,187.68285714285713,2,0,0,989,0,15,107.59333333333333,1,389.14539682539686,10.715204757860056
479019,1063,1999-11-04,Attack,300000.0,600000.0,2025-06-30,2022,1999,23,2,5,0,0,566,2,1,0,0,346,2,5,0,0,566,2,15,63.873333333333335,4,0,0,220,0,6,27.46666666666667,1,123.2940579710145,3.3949292150554546
22328,1038,1983-01-31,Attack,1000000.0,17500000.0,2023-06-30,2022,1983,39,10,113,20,0,22053,29,3,2,0,1030,0,12,4,0,3423,4,69,358.56086956521733,9,2,0,2393,4,39,252.93589743589746,1,790.8284838350056,21.775637593992155
112343,1038,1991-11-26,Attack,3000000.0,18000000.0,2026-06-30,2022,1991,31,10,74,26,1,12868,18,2,2,0,1026,2,11,6,0,2656,7,48,280.6833333333334,9,4,0,1630,5,28,175.3714285714286,1,596.460944700461,16.423684321260804
631704,1063,1999-01-12,Attack,400000.0,400000.0,2024-06-30,2022,1999,23,3,6,1,0,813,1,6,1,0,512,1,6,1,0,745,1,34,82.09117647058824,0,0,0,233,0,13,26.392307692307693,1,149.55515935471178,4.118034462576846
94307,1038,1992-01-30,Attack,2500000.0,10000000.0,2024-06-30,2022,1992,30,10,16,32,1,10914,16,2,5,0,1092,0,6,10,1,3141,4,50,327.582,4,5,1,2005,4,31,211.91774193548386,1,703.3574086021506,19.367102148998157
283528,1038,1995-12-21,Attack,2500000.0,10000000.0,2023-06-30,2022,1995,27,5,15,18,0,5233,11,0,1,0,196,0,6,6,0,1680,4,38,178.72105263157897,3,3,0,897,1,16,97.90625,1,366.0248659844055,10.078575816357253
188077,989,1995-02-22,Attack,9000000.0,9000000.0,2024-06-30,2022,1995,27,10,61,29,1,17896,58,1,1,0,997,0,3,2,0,1995,3,32,210.484375,2,1,0,998,3,14,109.62857142857145,1,425.4292080026455,11.714287541137058
140191,989,1992-10-10,Defender,2000000.0,7000000.0,2024-06-30,2022,1992,30,6,2,17,0,5353,5,0,1,0,478,0,1,2,0,1611,1,34,168.8882352941177,1,0,0,531,1,15,58.29,1,311.66235294117655,8.581691969954216
163744,989,1994-01-27,Defender,5000000.0,8000000.0,2023-05-31,2022,1994,28,8,5,24,2,12232,6,0,1,0,182,0,0,7,0,2696,0,36,278.9388888888889,0,4,0,1724,0,21,181.7095238095238,1,600.1750000000001,16.52595165717492
469781,989,1997-05-10,Defender,17000000.0,20000000.0,2026-06-30,2022,1997,25,5,9,18,0,10370,8,0,2,0,1279,0,3,9,0,6198,5,74,633.9756756756757,3,6,0,3716,5,43,383.6918604651163,1,1334.69537397863,36.751132965261526
348601,1038,1998-05-23,Midfield,2200000.0,2500000.0,2024-06-30,2022,1998,24,7,2,17,0,4433,3,0,5,0,959,1,0,6,0,1178,1,26,124.28076923076924,0,1,0,219,0,11,24.840909090909097,1,211.3203962703963,5.818753951663458
75942,1038,1988-01-13,Midfield,800000.0,9000000.0,2023-06-30,2022,1988,34,10,11,85,1,23052,16,0,7,0,2491,2,1,16,0,4559,2,66,467.65757575757584,1,9,0,2068,0,32,215.26250000000002,1,916.8076871657755,25.244502881706094
171399,1038,1994-12-16,Defender,1600000.0,7000000.0,2024-06-30,2022,1994,28,10,1,35,1,12668,11,0,2,0,1092,0,1,6,0,1853,0,40,192.48250000000002,1,4,0,761,0,19,81.05526315789474,1,369.8504417293233,10.183913892454012
111227,1038,1994-03-02,Defender,1000000.0,18000000.0,2025-06-30,2022,1994,28,8,12,34,0,7952,10,2,2,0,434,0,2,5,0,1280,0,25,134.47,0,3,0,834,0,14,90.00714285714287,1,291.76928571428573,8.033931954451191
284595,1038,1994-08-30,Defender,2500000.0,4000000.0,2025-06-30,2022,1994,28,5,3,5,1,9027,10,0,1,0,2244,5,1,2,0,5889,7,78,604.4999999999999,1,1,0,3645,2,43,377.2767441860465,1,1284.0624584717605,35.35694441370848
131102,1038,1992-05-27,Defender,2500000.0,18000000.0,2023-06-30,2022,1992,30,10,6,57,2,16393,2,0,2,0,639,0,2,12,1,3591,0,50,368.08200000000005,2,8,0,2674,0,33,276.9030303030304,1,829.0926969696972,22.82925118413461
482145,3325,1998-09-26,Attack,600000.0,1500000.0,2025-06-30,2022,1998,24,6,10,11,1,2502,3,1,3,0,410,1,1,4,0,529,1,18,57.988888888888894,0,1,0,119,0,8,14.137500000000001,1,101.17083333333335,2.7857613209193453
387378,3325,1997-08-05,Attack,1000000.0,3000000.0,2023-06-30,2022,1997,25,5,10,12,0,4937,8,1,3,0,406,0,5,7,0,1542,4,34,164.28529411764708,4,4,0,1136,4,23,122.83913043478262,1,369.30707161125326,10.1689520758119
364233,3325,1996-06-05,Midfield,700000.0,2000000.0,2023-06-30,2022,1996,26,7,0,11,0,2362,3,0,0,0,98,0,0,0,0,230,0,4,29.15,0,0,0,132,0,2,20.0,1,63.778846153846146,1.756164665787242
54716,3325,1987-01-11,Defender,100000.0,3800000.0,2023-06-30,2022,1987,35,5,14,30,1,6061,0,2,3,1,1260,0,7,20,1,3332,0,42,340.3833333333334,5,12,0,1608,0,21,167.80714285714285,1,678.4107142857143,18.68018939141954
